name
Авиастроение
Автомобилестроение
Автомобильный транспорт
Агропромышленный комплекс и пищевая промышленность
"Агропромышленный комплекс и пищевая промышленность (кроме сегментов; выделенных отдельно)"
Атомная промышленность
Банковская деятельность
ВИНК
Водный транспорт
Воздушный транспорт
Газодобывающая промышленность (включая транспортировку)
Генерация
Горнодобывающая промышленность
Горнодобывающая промышленность и металлургия
Государственное и муниципальное управление
"Государственное и муниципальное управление (кроме сегментов; выделенных отдельно)"
Государственное управление уровня субъекта РФ
Государственное управление федерального уровня Российской Федерации
Государственное управление центрального уровня иностранных государств
Готовая недвижимость
Драгоценные камни
Драгоценные металлы и ювелирная промышленность
Железнодорожное машиностроение
Железнодорожный транспорт
Жилищное и коммерческое строительство и операции с недвижимостью
"Жилищное и коммерческое строительство и операции с недвижимостью (кроме сегментов; выделенных отдельно)"
Жилищно-коммунальное хозяйство
Здравоохранение
"Здравоохранение и предоставление социальных услуг; медицинская промышленность"
Здравоохранение и фармацевтическая промышленность
Информационные технологии
Инфраструктурное строительство
Космическая промышленность
Космическая промышленность и НПК
Легкая промышленность
"Лесная; деревообрабатывающая и целлюлозно-бумажная промышленность"
"Лесная; деревообрабатывающая; целлюлозно-бумажная промышленность и лесное хозяйство"
Лесная и деревообрабатывающая промышленность
Лизинг
Массмедиа. Издательская и полиграфическая деятельность
Машиностроение
Машиностроение и металлообработка (кроме оборонной промышленности)
"Машиностроение и металлообработка (кроме сегментов; выделенных отдельно)"
Муниципальное управление
Негосударственные пенсионные фонды
Нефтедобывающая и нефтеперерабатывающая промышленность (включая транспортировку)
"Нефтедобывающая и нефтеперерабатывающая промышленность; трубопроводный транспорт (в части транспортировки нефти)"
Нефтесервисные услуги
Нефтехимическая промышленность
Нефть и газ
Оборонная промышленность
"Образование; научные исследования и разработки"
"Образование; научные исследования и разработки (кроме оборонной промышленности)"
Общественные и экстерриториальные организации
Общественные объединения
Оптовая торговля бытовыми и пищевыми товарами
"Оптовая торговля (кроме сегментов; выделенных отдельно)"
Оптовая торговля сырьевыми товарами
Пищевая промышленность
Потребительские товары
Проектное финансирование
Производство текстильных изделий
Промышленность минеральных удобрений
Промышленность строительных материалов и минеральной продукции
Промышленность стройматериалов и производство прочих неметаллических минеральных продуктов
Прочие услуги
Розничная торговля автомобилями
Розничная торговля бытовыми и пищевыми товарами
"Розничная торговля (кроме сегментов; выделенных отдельно)"
Розничная торговля нефтепродуктами
Рыболовство и рыбоводство
Сбыт
Связь
Сельское хозяйство
Сети
Страхование
Строительные проекты
Судостроение
Телекоммуникации
"Телекоммуникации; информационные технологии и медиа"
Торговля
Транспорт и инфраструктурное строительство
"Транспорт (кроме воздушного; водного; трубопроводного и железнодорожного)"
Транспортные и логистические услуги
Угольная и горнодобывающая промышленность
Управляющие компании холдингов
Услуги
Услуги финансового рынка
Услуги финансового рынка: профессиональные участники рынка ценных бумаг
Услуги финансового рынка: прочее
Факторинг
Фармацевтическая промышленность
Федеральные органы государственной власти
Финансы
"Финансы (кроме сегментов; выделенных отдельно)"
Химическая промышленность
"Химическая промышленность (кроме сегментов; выделенных отдельно)"
Химическая промышленность (кроме фармацевтической)
Холдинговые компании
Цветная металлургия
Целлюлозно-бумажная промышленность
Черная металлургия
Энергетика
Энергомашиностроение
Ювелирная промышленность
